index,adress,price,url,x,y
0,"Poznañ, Centrum, Libelta 5",1 800,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-oddz-kuchnia-centrum-libelta-ID3DueQ.html#71d265a9a6,16.922991,52.410600
1,"Poznañ, Ostrów Tumski, Ostrówek",1 850,https://www.otodom.pl/oferta/kawalerka-na-ostrowku-prywatnie-lub-dla-firmy-ID3E1mv.html#71d265a9a6,16.952347,52.411301
2,"Poznañ, Rataje,  Rataje",1 300,https://www.otodom.pl/oferta/wynajme-kawalerke-ul-rataje-152-poznan-garaz-ID3Ed9q.html#71d265a9a6,16.939210,52.382705
3,"Poznañ, Rataje,  Powstañ Narodowych",1 200,https://www.otodom.pl/oferta/ladna-kawalerka-bezposrednio-ID1k8NU.html#71d265a9a6,16.956645,52.389349
4,"Poznañ, Ogrody,  Szamotulska",1 300,https://www.otodom.pl/oferta/mieszkanie-29-m-ogrody-ul-szamotulska-ID3EWiv.html#71d265a9a6,16.883017,52.411309
5,"Poznañ, Grunwald,  Promienista",2 300,https://www.otodom.pl/oferta/piekne-mieszkanie-2-pok-w-willi-miejskiej-grunwald-ID3ESLK.html#71d265a9a6,16.872698,52.389701
6,"Poznañ, Wilda,  Partyzancka",2 200,https://www.otodom.pl/oferta/wynajme-bezposrednio-dwupokojowe-mieszkanie-54-m2-ID3EFuI.html#71d265a9a6,16.918598,52.382409
7,"Poznañ, Pi¹tkowo,  Stefana Batorego",1 200,https://www.otodom.pl/oferta/kawalerka-32m-os-batorego-bezposrednio-ID3EV7C.html#71d265a9a6,16.926342,52.456025
8,"Poznañ,  Milczañska",1 300,https://www.otodom.pl/oferta/mieszkanie-na-wynajem-milczanska-ID3EWXe.html#71d265a9a6,16.964752,52.393060
9,"Poznañ, Centrum, Libelta 5",1 800,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-oddz-kuchnia-centrum-libelta-ID3DueQ.html#71d265a9a6,16.922991,52.410600
10,"Poznañ, Je¿yce, D¹browskiego 29D",1 850,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-2pok-w-sercu-jezyc-parking-ID2lDxT.html#71d265a9a6,16.908754,52.412526
11,"Poznañ, Je¿yce, Jana Kochanowskiego",1 690,https://www.otodom.pl/oferta/2-niezalezne-pokoje-na-romantycznych-jezycach-ID3EWQ8.html#71d265a9a6,0,0
12,"Poznañ, Ostrów Tumski, Ostrówek",1 850,https://www.otodom.pl/oferta/kawalerka-na-ostrowku-prywatnie-lub-dla-firmy-ID3E1mv.html#71d265a9a6,16.952347,52.411301
13,"Poznañ, Ogrody,  Nowy Œwiat",1 200,https://www.otodom.pl/oferta/kawalerka-ogrody-poznan-nowy-swiat-34m2-zadbana-ID3ozsv.html#71d265a9a6,16.881834,52.415699
14,"Poznañ, Naramowickie Osiedle,  Sielawy",1 600,https://www.otodom.pl/oferta/naramowicka-sielawy-2-pok-49-m2-ID3EWA8.html#71d265a9a6,0,0
15,"Poznañ, Pi¹tkowo,  W³adys³awa Jagie³³y",1 450,https://www.otodom.pl/oferta/mieszkanie-2-pok-piatkowo-jagielly-bezposrednio-ID3AH8r.html#71d265a9a6,16.905588,52.455616
16,"Poznañ, Wilda, Mieczys³awa Niedzia³kowskiego",3 500,https://www.otodom.pl/oferta/luksusowy-apartament-2-pok-niedzialkowskiego-24-ID3EWzu.html#71d265a9a6,0,0
